FMID;MarketName;Website;street;city;zip;Season1Date;x;y
30776210;Dziupla;no data;Piotra FaliÒskiego 6a;Truskaw;no data;Tu-Su 12:00-20:00;20.769334;52.3084017
32552017;M≥yn pod Mariaszkiem;no data; ;no data;no data;no data;20.0352214;53.6712874
201830837;Pizzeria na Barskiej;http://strona.barska.nazwa.pl/;Barska 37;Warszawa;02-315;Mo-Su 12:00-22:00;20.974339;52.2189849
205056826;Mistral;no data; ;no data;no data;no data;17.5822924;53.7108121
205061155;Sukiennice;no data; ;no data;no data;no data;17.5612332;53.6942699
246857516;Kaskada;no data; ;no data;no data;no data;20.5123415;51.9745231
247441607;Chicago's Pizza;https://www.chicagospizza.pl/;Aleja Jerzego Waszyngtona 46;Warszawa;03-910;"Mo-Th 11:00-23:00; Fr-Sa 11:00-24:00; Su 11:00-23:00";21.0619767;52.2399471
247461210;Pizza Hut;no data;Widok 26;Warszawa;00-023;no data;21.0121187;52.2312336
248059648;Pizzeria Mela Verde;no data;Chmielna 8;Warszawa;no data;no data;21.0176975;52.2330793
248200343;Villa Foksal;no data; ;no data;no data;no data;21.023535;52.2341687
248200345;Endorfina Foksal;http://www.endorfinafoksal.pl/; ;no data;no data;"Mo-Fr 11:00+; Sa,Su 12:00+";21.0240185;52.2344346
248212442;Fuzja na WspÛlnej;no data;WspÛlna 54A;Warszawa;no data;no data;21.0112668;52.2267972
248460722;Pizzeria Napoli;no data;Wilcza 62;Warszawa;no data;"Mo-Th 10:00-22:00; Su 11:00-22:00; Fr 10:00-00:00; Sa 11:00-00:00";21.0096603;52.2237246
248788151;Torino;no data; ;no data;no data;no data;20.4310828;49.9698436
249060731;Grota;no data; ;no data;no data;no data;20.4310787;49.9702082
249060808;Pizza;no data; ;no data;no data;no data;20.4245058;49.9673894
254291974;Gospoda Pod Kogutem;no data;Rakowiecka 43A;Warszawa;no data;no data;21.0058674;52.2070123
254333211;Pizzeria Dominium;no data; ;no data;no data;"Mo-Sa 11:00-24:00; Su 11:00-23:00";21.0071988;52.207253
254513582;Wook;no data; ;no data;no data;no data;21.0031544;52.2273614
255110165;Kebab Dubaj;no data;Rakowiecka 43;Warszawa;no data;no data;21.0062033;52.2070802
255110169;KarpielÛwka;http://karpielowka.com.pl/; ;no data;no data;Mo-Su 00:00-02:00,12:00-24:00;21.0424625;52.1473059
256209947;U Ryúka;no data;Armii Krajowej 2;Pilica;42-436;no data;19.6581435;50.4671732
259568266;Ming Wok;http://www.mingwok.pl/; ;no data;no data;"Mo-Fr 11:00-21:00; Sa,Su 12:00-21:00";21.0561834;52.1482397
259570087;Pizzeria Rimini;http://www.rimini.pl/;Wilhelma Konrada Roentgena ;no data;no data;Mo-Su 12:00-22:00;21.0324404;52.1489478
260457168;Sushi Akiyama;no data; ;no data;no data;no data;21.08621;52.1670994
260457170;Z≥oty KrÛl;no data; ;no data;no data;no data;21.0861761;52.1661244
260457171;Pod Karabelö;no data; ;no data;no data;no data;21.0853249;52.1656419
